KeyGroup,KeyKBD,ActualX,ActualY,KeyCodes
Functions,F1,2,0,59
Functions,F2,3,0,60
Functions,F3,4,0,61
Functions,F4,5,0,62
Functions,F5,7,0,63
Functions,F6,8,0,64
Functions,F7,9,0,65
Functions,F8,10,0,66
Functions,F9,12,0,67
Functions,F10,13,0,68
Functions,F11,14,0,87
Functions,F12,15,0,88
MainNums,1,2,3,2
MainNums,2,3,3,3
MainNums,3,4,3,4
MainNums,4,5,3,5
MainNums,5,6,3,6
MainNums,6,7,3,7
MainNums,7,8,3,8
MainNums,8,9,3,9
MainNums,9,10,3,10
MainNums,0,11,3,11
MainNums,-,12,3,12
MainNums,=,13,3,13
Main,q,2,6,16
Main,w,3,6,17
Main,e,4,6,18
Main,r,5,6,19
Main,t,6,6,20
Main,y,7,6,21
Main,u,8,6,22
Main,i,9,6,23
Main,o,10,6,24
Main,p,11,6,25
Main,[,12,6,26
Main,],13,6,27
Main,a,2,9,30
Main,s,3,9,31
Main,d,4,9,32
Main,f,5,9,33
Main,g,6,9,34
Main,h,7,9,35
Main,j,8,9,36
Main,k,9,9,37
Main,l,10,9,38
Main,;,11,9,39
Main,',12,9,40
Main,\,13,9,0
Main,z,3,12,44
Main,x,4,12,45
Main,c,5,12,46
Main,v,6,12,47
Main,b,7,12,48
Main,n,8,12,49
Main,m,9,12,50
Main,",",10,12,51
Main,.,11,12,52
Main,/,12,12,53
MainSide,ESC,0,0,1
MainSide,Tilde,0,3,41
MainSide,Tab,0,6,15
MainSide,Caps,0,9,58
MainSide,BckSpc,15,3,14
MainSide,Enter,15,6,284
Modifiers,Shift,0,12,42
Modifiers,RShift,15,12,310
Modifiers,Ctrl,0,15,29
Modifiers,RCtrl,15,15,285
Modifiers,ALT,3,15,56
Modifiers,Ralt,11,15,312
Modifiers,Space,6,15,57
Extra,PrntScrn,17,0,311
Extra,ScrlLk,18,0,70
Extra,Pause,19,0,325
Extra,Insert,17,3,338
Extra,Home,18,3,327
Extra,PageUp,19,3,329
Extra,Delete,17,6,339
Extra,End,18,6,335
Extra,PageDn,19,6,337
Arrows,UpArr,18,12,328
Arrows,DnArr,18,15,336
Arrows,LftArr,17,15,331
Arrows,RgtArr,19,15,333
NumPad,Nm0,21,15,82
NumPad,Nm1,21,12,79
NumPad,Nm2,22,12,80
NumPad,Nm3,23,12,81
NumPad,Nm4,21,9,75
NumPad,Nm5,22,9,76
NumPad,Nm6,23,9,77
NumPad,Nm7,21,6,71
NumPad,Nm8,22,6,72
NumPad,Nm9,23,6,73
NumPad,Nm/,22,3,309
NumPad,Nm*,23,3,82
NumPad,Nm-,24,3,74
NumPad,Nm+,24,6,78
NumPad,NmLck,21,3,325
NumPad,NmEntr,24,12,284
NumPad,Nm.,23,15,83
